epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8231,0.72703,1.85808,0.96515,0.92687,0.59524,0.64728,0.58577,0.68413,1.40359,0.86405,0.00021435,0.00021435,0.00021435
2,59.1032,0.64254,0.91629,0.87796,0.87565,0.66369,0.71397,0.58746,0.67925,1.386,0.85962,0.000435681,0.000435681,0.000435681
3,88.117,0.68555,0.69648,0.88062,0.82378,0.78918,0.79446,0.61553,0.80426,0.9617,0.88657,0.000649466,0.000649466,0.000649466
4,117.064,0.70432,0.63273,0.88225,0.76198,0.764,0.77012,0.59846,0.7828,0.87051,0.87926,0.000855707,0.000855707,0.000855707
5,145.896,0.6937,0.68507,0.90289,0.97194,0.61502,0.7149,0.58946,0.72721,0.82462,0.88628,0.0010544,0.0010544,0.0010544
6,175.019,0.69679,0.65162,0.89816,0.60943,0.83333,0.83599,0.60703,0.83099,0.91031,0.92095,0.00124555,0.00124555,0.00124555
7,203.91,0.7463,0.70073,0.89843,0.67364,0.83915,0.72717,0.52079,0.85642,0.9204,0.92683,0.00128753,0.00128753,0.00128753
8,232.596,0.70855,0.61067,0.88763,0.78768,0.92705,0.90587,0.65361,0.81774,0.62272,0.93061,0.00126395,0.00126395,0.00126395
9,261.317,0.67272,0.54972,0.88578,0.82691,0.83038,0.81213,0.62973,0.71129,0.61246,0.89283,0.00124037,0.00124037,0.00124037
10,290.105,0.67035,0.52499,0.89959,0.79308,0.93864,0.93279,0.66552,0.75221,0.58497,0.8846,0.00121679,0.00121679,0.00121679
11,318.793,0.65442,0.51939,0.8895,0.8021,0.84034,0.84429,0.65176,0.72686,0.60665,0.905,0.00119322,0.00119322,0.00119322
12,413.671,0.6496,0.4775,0.8799,0.64657,0.82238,0.79769,0.59562,0.76425,0.72301,0.90154,0.00116964,0.00116964,0.00116964
13,442.354,0.64816,0.47403,0.88144,0.76244,0.85719,0.89786,0.65929,0.74202,0.62609,0.89082,0.00114606,0.00114606,0.00114606
14,471.015,0.65695,0.47251,0.8815,0.92376,0.92917,0.90809,0.65844,0.74171,0.4826,0.89763,0.00112248,0.00112248,0.00112248
15,499.691,0.64,0.49158,0.88591,0.70642,0.86383,0.92835,0.68352,0.68328,0.49544,0.88983,0.0010989,0.0010989,0.0010989
16,528.279,0.61411,0.4397,0.87008,0.87922,0.91026,0.91105,0.69405,0.6737,0.44592,0.86679,0.00107532,0.00107532,0.00107532
17,556.832,0.61972,0.44669,0.86532,0.89745,0.96154,0.93138,0.66868,0.68506,0.42278,0.87683,0.00105174,0.00105174,0.00105174
18,585.465,0.60195,0.4201,0.87888,0.90624,0.92308,0.94237,0.6908,0.72818,0.43074,0.88327,0.00102817,0.00102817,0.00102817
19,614.026,0.59577,0.4353,0.87254,0.93721,0.91026,0.94067,0.7041,0.67949,0.41222,0.87461,0.00100459,0.00100459,0.00100459
20,642.82,0.59503,0.4054,0.86344,0.89463,0.90182,0.93691,0.69424,0.65661,0.40549,0.85684,0.000981008,0.000981008,0.000981008
